,country,athlete_name,sport_name,event_name,medal_type
18,Kenya,KIPCHOGE Eliud,Athletics;ATH;,Men's Marathon,Gold Medal
19,Sweden,DUPLANTIS Armand,Athletics;ATH;,Men's Pole Vault,Gold Medal
0,United States of America,CROUSER Ryan,Athletics;ATH;,Men's Shot Put,Gold Medal
1,Portugal,PICHARDO Pedro,Athletics;ATH;,Men's Triple Jump,Gold Medal
2,Netherlands,HASSAN Sifan,Athletics;ATH;,"Women's 10,000m",Gold Medal
3,Jamaica,THOMPSON-HERAH Elaine,Athletics;ATH;,Women's 100m,Gold Medal
4,Puerto Rico,CAMACHO-QUINN Jasmine,Athletics;ATH;,Women's 100m Hurdles,Gold Medal
5,Kenya,KIPYEGON Faith,Athletics;ATH;,Women's 1500m,Gold Medal
6,Jamaica,THOMPSON-HERAH Elaine,Athletics;ATH;,Women's 200m,Gold Medal
7,Italy,PALMISANO Antonella,Athletics;ATH;,Women's 20km Race Walk,Gold Medal
8,Uganda,CHEMUTAI Peruth,Athletics;ATH;,Women's 3000m Steeplechase,Gold Medal
9,Bahamas,MILLER-UIBO Shaunae,Athletics;ATH;,Women's 400m,Gold Medal
10,United States of America,McLAUGHLIN Sydney,Athletics;ATH;,Women's 400m Hurdles,Gold Medal
11,Jamaica,BURCHELL Remona,Athletics;ATH;,Women's 4 x 100m Relay,Gold Medal
12,Jamaica,FRASER-PRYCE Shelly-Ann,Athletics;ATH;,Women's 4 x 100m Relay,Gold Medal
13,Jamaica,JACKSON Shericka,Athletics;ATH;,Women's 4 x 100m Relay,Gold Medal
14,Jamaica,MORRISON Natasha,Athletics;ATH;,Women's 4 x 100m Relay,Gold Medal
15,Jamaica,THOMPSON-HERAH Elaine,Athletics;ATH;,Women's 4 x 100m Relay,Gold Medal
16,Jamaica,WILLIAMS Briana,Athletics;ATH;,Women's 4 x 100m Relay,Gold Medal
17,United States of America,ELLIS Kendall,Athletics;ATH;,Women's 4 x 400m Relay,Gold Medal
18,United States of America,FELIX Allyson,Athletics;ATH;,Women's 4 x 400m Relay,Gold Medal
19,United States of America,IRBY Lynna,Athletics;ATH;,Women's 4 x 400m Relay,Gold Medal
0,United States of America,JONATHAS Wadeline,Athletics;ATH;,Women's 4 x 400m Relay,Gold Medal
1,United States of America,McLAUGHLIN Sydney,Athletics;ATH;,Women's 4 x 400m Relay,Gold Medal
2,United States of America,MU Athing,Athletics;ATH;,Women's 4 x 400m Relay,Gold Medal
3,United States of America,MUHAMMAD Dalilah,Athletics;ATH;,Women's 4 x 400m Relay,Gold Medal
4,United States of America,WHITNEY Kaylin,Athletics;ATH;,Women's 4 x 400m Relay,Gold Medal
5,Netherlands,HASSAN Sifan,Athletics;ATH;,Women's 5000m,Gold Medal
6,United States of America,MU Athing,Athletics;ATH;,Women's 800m,Gold Medal
7,United States of America,ALLMAN Valarie,Athletics;ATH;,Women's Discus Throw,Gold Medal
8,Poland,WLODARCZYK Anita,Athletics;ATH;,Women's Hammer Throw,Gold Medal
9,Belgium,THIAM Nafissatou,Athletics;ATH;,Women's Heptathlon,Gold Medal
10,ROC,LASITSKENE Mariya,Athletics;ATH;,Women's High Jump,Gold Medal
11,People's Republic of China,LIU Shiying,Athletics;ATH;,Women's Javelin Throw,Gold Medal
12,Germany,MIHAMBO Malaika,Athletics;ATH;,Women's Long Jump,Gold Medal
13,Kenya,JEPCHIRCHIR Peres,Athletics;ATH;,Women's Marathon,Gold Medal
14,United States of America,NAGEOTTE Katie,Athletics;ATH;,Women's Pole Vault,Gold Medal
15,People's Republic of China,GONG Lijiao,Athletics;ATH;,Women's Shot Put,Gold Medal
16,Venezuela,ROJAS Yulimar,Athletics;ATH;,Women's Triple Jump,Gold Medal
17,Poland,BAUMGART-WITAN Iga,Athletics;ATH;,4 x 400m Relay Mixed,Gold Medal
18,Poland,DUSZYNSKI Kajetan,Athletics;ATH;,4 x 400m Relay Mixed,Gold Medal
19,Poland,HOLUB-KOWALIK Malgorzata,Athletics;ATH;,4 x 400m Relay Mixed,Gold Medal
0,Poland,KACZMAREK Natalia,Athletics;ATH;,4 x 400m Relay Mixed,Gold Medal
1,Poland,KOWALUK Dariusz,Athletics;ATH;,4 x 400m Relay Mixed,Gold Medal
2,Poland,SWIETY-ERSETIC Justyna,Athletics;ATH;,4 x 400m Relay Mixed,Gold Medal
3,Poland,ZALEWSKI Karol,Athletics;ATH;,4 x 400m Relay Mixed,Gold Medal
4,Chinese Taipei,LEE Yang,Badminton;BDM;,Men's Doubles,Gold Medal
5,Chinese Taipei,WANG Chi-Lin,Badminton;BDM;,Men's Doubles,Gold Medal
6,Denmark,AXELSEN Viktor,Badminton;BDM;,Men's Singles,Gold Medal
7,Indonesia,RAHAYU Apriyani,Badminton;BDM;,Women's Doubles,Gold Medal
8,Indonesia,Greysia POLII,Badminton;BDM;,Women's Doubles,Gold Medal
9,People's Republic of China,CHEN Yu Fei,Badminton;BDM;,Women's Singles,Gold Medal
10,People's Republic of China,HUANG Dong Ping,Badminton;BDM;,Mixed Doubles,Gold Medal
11,People's Republic of China,WANG Yi Lyu,Badminton;BDM;,Mixed Doubles,Gold Medal
12,Japan,AOYAGI Koyo,Baseball/Softball;BSB;,Baseball,Gold Medal
13,Japan,ASAMURA Hideto,Baseball/Softball;BSB;,Baseball,Gold Medal
14,Japan,GENDA Sosuke,Baseball/Softball;BSB;,Baseball,Gold Medal
15,Japan,ITOH Hiromi,Baseball/Softball;BSB;,Baseball,Gold Medal
16,Japan,IWAZAKI Suguru,Baseball/Softball;BSB;,Baseball,Gold Medal
17,Japan,KAI Takuya,Baseball/Softball;BSB;,Baseball,Gold Medal
18,Japan,KIKUCHI Ryosuke,Baseball/Softball;BSB;,Baseball,Gold Medal
19,Japan,KONDOH Kensuke,Baseball/Softball;BSB;,Baseball,Gold Medal
0,Japan,KURIBAYASHI Ryoji,Baseball/Softball;BSB;,Baseball,Gold Medal
1,Japan,KURIHARA Ryoya,Baseball/Softball;BSB;,Baseball,Gold Medal
2,Japan,MORISHITA Masato,Baseball/Softball;BSB;,Baseball,Gold Medal
3,Japan,MURAKAMI Munetaka,Baseball/Softball;BSB;,Baseball,Gold Medal
4,Japan,OHNO Yudai,Baseball/Softball;BSB;,Baseball,Gold Medal
5,Japan,SAKAMOTO Hayato,Baseball/Softball;BSB;,Baseball,Gold Medal
6,Japan,SENGA Koudai,Baseball/Softball;BSB;,Baseball,Gold Medal
7,Japan,SUZUKI Seiya,Baseball/Softball;BSB;,Baseball,Gold Medal
8,Japan,TAIRA Kaima,Baseball/Softball;BSB;,Baseball,Gold Medal
9,Japan,TANAKA Masahiro,Baseball/Softball;BSB;,Baseball,Gold Medal
10,Japan,UMENO Ryutaro,Baseball/Softball;BSB;,Baseball,Gold Medal
11,Japan,YAMADA Tetsuto,Baseball/Softball;BSB;,Baseball,Gold Medal
12,Japan,YAMAMOTO Yoshinobu,Baseball/Softball;BSB;,Baseball,Gold Medal
13,Japan,YAMASAKI Yasuaki,Baseball/Softball;BSB;,Baseball,Gold Medal
14,Japan,YANAGITA Yuki,Baseball/Softball;BSB;,Baseball,Gold Medal
15,Japan,YOSHIDA Masataka,Baseball/Softball;BSB;,Baseball,Gold Medal
16,Japan,AGATSUMA Haruka,Baseball/Softball;BSB;,Softball,Gold Medal
17,Japan,ATSUMI Mana,Baseball/Softball;BSB;,Softball,Gold Medal
18,Japan,FUJITA Yamato,Baseball/Softball;BSB;,Softball,Gold Medal
19,Japan,GOTO Miu,Baseball/Softball;BSB;,Softball,Gold Medal
0,Japan,HARADA Nodoka,Baseball/Softball;BSB;,Softball,Gold Medal
1,Japan,ICHIGUCHI Yuka,Baseball/Softball;BSB;,Softball,Gold Medal
2,Japan,KAWABATA Hitomi,Baseball/Softball;BSB;,Softball,Gold Medal
3,Japan,KIYOHARA Nayu,Baseball/Softball;BSB;,Softball,Gold Medal
4,Japan,MINE Yukiyo,Baseball/Softball;BSB;,Softball,Gold Medal
5,Japan,MORI Sayaka,Baseball/Softball;BSB;,Softball,Gold Medal
6,Japan,NAITO Minori,Baseball/Softball;BSB;,Softball,Gold Medal
7,Japan,UENO Yukiko,Baseball/Softball;BSB;,Softball,Gold Medal
8,Japan,YAMADA Eri,Baseball/Softball;BSB;,Softball,Gold Medal
9,Japan,YAMAMOTO Yu,Baseball/Softball;BSB;,Softball,Gold Medal
10,Japan,YAMAZAKI Saki,Baseball/Softball;BSB;,Softball,Gold Medal
11,United States of America,ADEBAYO Bam,Basketball;BKB;,Men,Gold Medal
12,United States of America,BOOKER Devin,Basketball;BKB;,Men,Gold Medal
13,United States of America,DURANT Kevin,Basketball;BKB;,Men,Gold Medal
14,United States of America,GRANT Jerami,Basketball;BKB;,Men,Gold Medal
15,United States of America,GREEN Draymond,Basketball;BKB;,Men,Gold Medal
16,United States of America,HOLIDAY Jrue,Basketball;BKB;,Men,Gold Medal
17,United States of America,JOHNSON Keldon,Basketball;BKB;,Men,Gold Medal
18,United States of America,LAVINE Zach,Basketball;BKB;,Men,Gold Medal
19,United States of America,LILLARD Damian,Basketball;BKB;,Men,Gold Medal
0,United States of America,MCGEE Javale,Basketball;BKB;,Men,Gold Medal
1,United States of America,MIDDLETON Khris,Basketball;BKB;,Men,Gold Medal
2,United States of America,TATUM Jayson,Basketball;BKB;,Men,Gold Medal
3,United States of America,ATKINS Ariel,Basketball;BKB;,Women,Gold Medal
4,United States of America,BIRD Sue,Basketball;BKB;,Women,Gold Medal
5,United States of America,CHARLES Tina,Basketball;BKB;,Women,Gold Medal
6,United States of America,COLLIER Napheesa,Basketball;BKB;,Women,Gold Medal
7,United States of America,DIGGINS Skylar,Basketball;BKB;,Women,Gold Medal
8,United States of America,FOWLES Sylvia,Basketball;BKB;,Women,Gold Medal
9,United States of America,GRAY Chelsea,Basketball;BKB;,Women,Gold Medal
10,United States of America,GRINER Brittney,Basketball;BKB;,Women,Gold Medal
11,United States of America,LOYD Jewell,Basketball;BKB;,Women,Gold Medal
12,United States of America,STEWART Breanna,Basketball;BKB;,Women,Gold Medal
13,United States of America,TAURASI Diana,Basketball;BKB;,Women,Gold Medal
14,United States of America,WILSON A'ja,Basketball;BKB;,Women,Gold Medal
15,Norway,MOL Anders Berntsen,Beach Volleyball;VBV;,Men,Gold Medal
16,Norway,SORUM Christian Sandlie,Beach Volleyball;VBV;,Men,Gold Medal
17,United States of America,KLINEMAN Alix,Beach Volleyball;VBV;,Women,Gold Medal
18,United States of America,ROSS April,Beach Volleyball;VBV;,Women,Gold Medal
19,Great Britain,YAFAI Galal,Boxing;BOX;,Men's Fly (48-52kg),Gold Medal
0,ROC,BATYRGAZIEV Albert,Boxing;BOX;,Men's Feather (52-57kg),Gold Medal
1,Cuba,CRUZ Andy,Boxing;BOX;,Men's Light (57-63kg),Gold Medal
2,Cuba,IGLESIAS Roniel,Boxing;BOX;,Men's Welter (63-69kg),Gold Medal
3,Brazil,SOUSA Hebert,Boxing;BOX;,Men's Middle (69-75kg),Gold Medal
4,Cuba,LOPEZ Arlen,Boxing;BOX;,Men's Light Heavy (75-81kg),Gold Medal
5,Cuba,la CRUZ Julio,Boxing;BOX;,Men's Heavy (81-91kg),Gold Medal
6,Uzbekistan,JALOLOV Bakhodir,Boxing;BOX;,Men's Super Heavy (+91kg),Gold Medal
7,Bulgaria,KRASTEVA Stoyka Zhelyazkova,Boxing;BOX;,Women's Fly (48-51kg),Gold Medal
8,Japan,IRIE Sena,Boxing;BOX;,Women's Feather (54-57kg),Gold Medal
9,Ireland,HARRINGTON Kellie Anne,Boxing;BOX;,Women's Light (57-60kg),Gold Medal
10,Turkey,SURMENELI Busenaz,Boxing;BOX;,Women's Welter (64-69kg),Gold Medal
11,Great Britain,PRICE Lauren,Boxing;BOX;,Women's Middle (69-75kg),Gold Medal
12,Slovenia,SAVSEK Benjamin,Canoe Slalom;CSL;,Men's Canoe,Gold Medal
13,Czech Republic,PRSKAVEC Jiri,Canoe Slalom;CSL;,Men's Kayak,Gold Medal
14,Australia,FOX Jessica,Canoe Slalom;CSL;,Women's Canoe,Gold Medal
15,Germany,FUNK Ricarda,Canoe Slalom;CSL;,Women's Kayak,Gold Medal
16,Brazil,QUEIROZ dos SANTOS Isaquias,Canoe Sprint;CSP;,Men's Canoe Single 1000m,Gold Medal
17,Cuba,JORGE ENRIQUEZ Fernando Dayan,Canoe Sprint;CSP;,Men's Canoe Double 1000m,Gold Medal
18,Cuba,TORRES MADRIGAL Serguey,Canoe Sprint;CSP;,Men's Canoe Double 1000m,Gold Medal
19,Hungary,KOPASZ Balint,Canoe Sprint;CSP;,Men's Kayak Single 1000m,Gold Medal
0,Hungary,TOTKA Sandor,Canoe Sprint;CSP;,Men's Kayak Single 200m,Gold Medal
1,Australia,GREEN Thomas,Canoe Sprint;CSP;,Men's Kayak Double 1000m,Gold Medal
2,Australia,van der WESTHUYZEN Jean,Canoe Sprint;CSP;,Men's Kayak Double 1000m,Gold Medal
3,Germany,LEMKE Max,Canoe Sprint;CSP;,Men's Kayak Four 500m,Gold Medal
4,Germany,LIEBSCHER Tom,Canoe Sprint;CSP;,Men's Kayak Four 500m,Gold Medal
5,Germany,RAUHE Ronald,Canoe Sprint;CSP;,Men's Kayak Four 500m,Gold Medal
6,Germany,RENDSCHMIDT Max,Canoe Sprint;CSP;,Men's Kayak Four 500m,Gold Medal
7,United States of America,HARRISON Nevin,Canoe Sprint;CSP;,Women's Canoe Single 200m,Gold Medal
8,People's Republic of China,SUN Mengya,Canoe Sprint;CSP;,Women's Canoe Double 500m,Gold Medal
9,People's Republic of China,XU Shixiao,Canoe Sprint;CSP;,Women's Canoe Double 500m,Gold Medal
10,New Zealand,CARRINGTON Lisa,Canoe Sprint;CSP;,Women's Kayak Single 200m,Gold Medal
11,New Zealand,CARRINGTON Lisa,Canoe Sprint;CSP;,Women's Kayak Single 500m,Gold Medal
12,New Zealand,CARRINGTON Lisa,Canoe Sprint;CSP;,Women's Kayak Double 500m,Gold Medal
13,New Zealand,REGAL Caitlin,Canoe Sprint;CSP;,Women's Kayak Double 500m,Gold Medal
14,Hungary,BODONYI Dora,Canoe Sprint;CSP;,Women's Kayak Four 500m,Gold Medal
15,Hungary,CSIPES Tamara,Canoe Sprint;CSP;,Women's Kayak Four 500m,Gold Medal
16,Hungary,KARASZ Anna,Canoe Sprint;CSP;,Women's Kayak Four 500m,Gold Medal
17,Hungary,KOZAK Danuta,Canoe Sprint;CSP;,Women's Kayak Four 500m,Gold Medal
18,Australia,MARTIN Logan,Cycling BMX Freestyle;BMF;,Men's Park,Gold Medal
19,Great Britain,WORTHINGTON Charlotte,Cycling BMX Freestyle;BMF;,Women's Park,Gold Medal
0,Netherlands,KIMMANN Niek,Cycling BMX Racing;BMX;,Men,Gold Medal
1,Great Britain,SHRIEVER Bethany,Cycling BMX Racing;BMX;,Women,Gold Medal
2,Great Britain,PIDCOCK Thomas,Cycling Mountain Bike;MTB;,Men's Cross-country,Gold Medal
3,Switzerland,NEFF Jolanda,Cycling Mountain Bike;MTB;,Women's Cross-country,Gold Medal
4,Ecuador,CARAPAZ Richard,Cycling Road;CRD;,Men's Road Race,Gold Medal
5,Slovenia,ROGLIC Primoz,Cycling Road;CRD;,Men's Individual Time Trial,Gold Medal
6,Austria,KIESENHOFER Anna,Cycling Road;CRD;,Women's Road Race,Gold Medal
7,Netherlands,van VLEUTEN Annemiek,Cycling Road;CRD;,Women's Individual Time Trial,Gold Medal
8,Great Britain,KENNY Jason,Cycling Track;CTR;,Men's Keirin,Gold Medal
9,Denmark,HANSEN Lasse Norman,Cycling Track;CTR;,Men's Madison,Gold Medal
10,Denmark,MORKOV Michael,Cycling Track;CTR;,Men's Madison,Gold Medal
11,Great Britain,WALLS Matthew,Cycling Track;CTR;,Men's Omnium,Gold Medal
12,Italy,CONSONNI Simone,Cycling Track;CTR;,Men's Team Pursuit,Gold Medal
13,Italy,GANNA Filippo,Cycling Track;CTR;,Men's Team Pursuit,Gold Medal
14,Italy,LAMON Francesco,Cycling Track;CTR;,Men's Team Pursuit,Gold Medal
15,Italy,MILAN Jonathan,Cycling Track;CTR;,Men's Team Pursuit,Gold Medal
16,Netherlands,LAVREYSEN Harrie,Cycling Track;CTR;,Men's Sprint,Gold Medal
17,Netherlands,BUCHLI Matthijs,Cycling Track;CTR;,Men's Team Sprint,Gold Medal
18,Netherlands,HOOGLAND Jeffrey,Cycling Track;CTR;,Men's Team Sprint,Gold Medal
19,Netherlands,LAVREYSEN Harrie,Cycling Track;CTR;,Men's Team Sprint,Gold Medal
0,Netherlands,van den BERG Roy,Cycling Track;CTR;,Men's Team Sprint,Gold Medal
1,Netherlands,BRASPENNINCX Shanne,Cycling Track;CTR;,Women's Keirin,Gold Medal
2,Great Britain,ARCHIBALD Katie,Cycling Track;CTR;,Women's Madison,Gold Medal
3,Great Britain,KENNY Laura,Cycling Track;CTR;,Women's Madison,Gold Medal
4,United States of America,VALENTE Jennifer,Cycling Track;CTR;,Women's Omnium,Gold Medal
5,Germany,BRAUSSE Franziska,Cycling Track;CTR;,Women's Team Pursuit,Gold Medal
6,Germany,BRENNAUER Lisa,Cycling Track;CTR;,Women's Team Pursuit,Gold Medal
7,Germany,KLEIN Lisa,Cycling Track;CTR;,Women's Team Pursuit,Gold Medal
8,Germany,KROEGER Mieke,Cycling Track;CTR;,Women's Team Pursuit,Gold Medal
9,Canada,MITCHELL Kelsey,Cycling Track;CTR;,Women's Sprint,Gold Medal
10,People's Republic of China,BAO Shanju,Cycling Track;CTR;,Women's Team Sprint,Gold Medal
11,People's Republic of China,ZHONG Tianshi,Cycling Track;CTR;,Women's Team Sprint,Gold Medal
12,People's Republic of China,CAO Yuan,Diving;DIV;,Men's 10m Platform,Gold Medal
13,Great Britain,DALEY Thomas,Diving;DIV;,Men's Synchronised 10m Platform,Gold Medal
14,Great Britain,LEE Matty,Diving;DIV;,Men's Synchronised 10m Platform,Gold Medal
15,People's Republic of China,XIE Siyi,Diving;DIV;,Men's 3m Springboard,Gold Medal
16,People's Republic of China,WANG Zongyuan,Diving;DIV;,Men's Synchronised 3m Springboard,Gold Medal
17,People's Republic of China,XIE Siyi,Diving;DIV;,Men's Synchronised 3m Springboard,Gold Medal
18,People's Republic of China,QUAN Hongchan,Diving;DIV;,Women's 10m Platform,Gold Medal
19,People's Republic of China,CHEN Yuxi,Diving;DIV;,Women's Synchronised 10m Platform,Gold Medal
0,People's Republic of China,ZHANG Jiaqi,Diving;DIV;,Women's Synchronised 10m Platform,Gold Medal
1,People's Republic of China,SHI Tingmao,Diving;DIV;,Women's 3m Springboard,Gold Medal
2,People's Republic of China,SHI Tingmao,Diving;DIV;,Women's Synchronised 3m Springboard,Gold Medal
3,People's Republic of China,WANG Han,Diving;DIV;,Women's Synchronised 3m Springboard,Gold Medal
4,Germany,von BREDOW-WERNDL Jessica,Equestrian;EQU;,Dressage Individual,Gold Medal
5,Germany,SCHNEIDER Dorothee,Equestrian;EQU;,Dressage Team,Gold Medal
6,Germany,von BREDOW-WERNDL Jessica,Equestrian;EQU;,Dressage Team,Gold Medal
7,Germany,WERTH Isabell,Equestrian;EQU;,Dressage Team,Gold Medal
8,Germany,KRAJEWSKI Julia,Equestrian;EQU;,Eventing Individual,Gold Medal
9,Great Britain,COLLETT Laura,Equestrian;EQU;,Eventing Team,Gold Medal
10,Great Britain,McEWEN Tom,Equestrian;EQU;,Eventing Team,Gold Medal
11,Great Britain,TOWNEND Oliver,Equestrian;EQU;,Eventing Team,Gold Medal
12,Great Britain,MAHER Ben,Equestrian;EQU;,Jumping Individual,Gold Medal
13,Sweden,BARYARD-JOHNSSON Malin,Equestrian;EQU;,Jumping Team,Gold Medal
14,Sweden,FREDRICSON Peder,Equestrian;EQU;,Jumping Team,Gold Medal
15,Sweden,von ECKERMANN Henrik,Equestrian;EQU;,Jumping Team,Gold Medal
16,France,CANNONE Romain,Fencing;FEN;,Men's Épée Individual,Gold Medal
17,"Hong Kong, China",CHEUNG Ka Long,Fencing;FEN;,Men's Foil Individual,Gold Medal
18,Hungary,SZILAGYI Aron,Fencing;FEN;,Men's Sabre Individual,Gold Medal
19,Japan,KANO Koki,Fencing;FEN;,Men's Épée Team,Gold Medal
0,Japan,MINOBE Kazuyasu,Fencing;FEN;,Men's Épée Team,Gold Medal
1,Japan,UYAMA Satoru,Fencing;FEN;,Men's Épée Team,Gold Medal
2,Japan,YAMADA Masaru,Fencing;FEN;,Men's Épée Team,Gold Medal
3,France,le PECHOUX Erwann,Fencing;FEN;,Men's Foil Team,Gold Medal
4,France,LEFORT Enzo,Fencing;FEN;,Men's Foil Team,Gold Medal
